id;review_type_id;card_id;user_id;stability;difficulty;elapsed_days;scheduled_days;reps;lapses;state;due;last_review;created_at;updated_at;learning_status;recent_ratings
d740a92d-5ec4-4bcd-b8dd-1b4c7b1703e3;e7b9a93c-99e2-4588-923f-228c758f40ce;36695b79-3a42-44bf-8a2f-59aa74fe9a11;01803f55-8bdf-4d94-b8be-14bcda04a8ff;3.04325764;8.87910041;2;3;8;1;2;2026-07-07 06:50:26.898+00;2026-07-04 06:50:26.898+00;2026-05-09 15:11:37.180879+00;2026-07-04 06:50:27.083188+00;learning;[1,1,3]
9186d3c0-e44d-497d-9c55-d26918145623;e7b9a93c-99e2-4588-923f-228c758f40ce;daf5bc6b-4b8b-4296-8122-e6f68c33d787;01803f55-8bdf-4d94-b8be-14bcda04a8ff;125.12304849;5.73176232;21;129;7;2;2;2026-11-10 06:51:48.269+00;2026-07-04 06:51:48.269+00;2026-05-10 20:20:19.671514+00;2026-07-04 06:51:48.332801+00;learning;[1,3,4]
e9af76d9-e33a-4ce0-bd8b-d1e6cca7fdda;e7b9a93c-99e2-4588-923f-228c758f40ce;1042a6a5-5954-41e8-b80e-9e78e18dc8c5;01803f55-8bdf-4d94-b8be-14bcda04a8ff;6.82096641;9.45009773;4;9;12;0;2;2026-07-13 06:51:56.76+00;2026-07-04 06:51:56.76+00;2026-06-05 22:31:02.711469+00;2026-07-04 06:51:56.819896+00;learning;[3,3,2]
8d233c87-7060-4def-86aa-1b0c1bcfd861;e7b9a93c-99e2-4588-923f-228c758f40ce;e0cee765-8568-441a-8584-8e57ea27a4c5;01803f55-8bdf-4d94-b8be-14bcda04a8ff;6.86714194;9.08062072;4;6;11;1;2;2026-07-10 06:52:06.411+00;2026-07-04 06:52:06.411+00;2026-05-09 15:09:58.907437+00;2026-07-04 06:52:06.477657+00;learning;[1,3,2]
d219050f-28e8-43d2-a037-ba4727bcee43;e7b9a93c-99e2-4588-923f-228c758f40ce;247c9454-71a8-4030-b221-01f5ad411530;01803f55-8bdf-4d94-b8be-14bcda04a8ff;0.20168903;8.08279701;1;0;2;0;1;2026-07-05 09:14:52.638+00;2026-07-05 09:09:52.638+00;2026-07-04 06:49:35.322204+00;2026-07-05 09:09:53.020682+00;learning;[1]
e4593ef5-266b-461c-abc8-a134e9e741c9;e7b9a93c-99e2-4588-923f-228c758f40ce;9f91d113-2a03-40be-813d-7701d3f2ca77;01803f55-8bdf-4d94-b8be-14bcda04a8ff;0.03902394;9.83256767;1;1;20;4;2;2026-07-06 09:10:02.438+00;2026-07-05 09:10:02.438+00;2026-05-09 15:09:17.697735+00;2026-07-05 09:10:02.596998+00;learning;[3,1,3]
25a59238-63fa-413d-94d8-e3a894db173c;e7b9a93c-99e2-4588-923f-228c758f40ce;052c30ea-5fe8-4f9a-bfaf-ac12a95a7c67;01803f55-8bdf-4d94-b8be-14bcda04a8ff;0.02790535;9.85337167;1;0;23;4;3;2026-07-05 09:20:42.336+00;2026-07-05 09:10:42.336+00;2026-03-28 15:54:55.841232+00;2026-07-05 09:10:42.488727+00;learning;[1,3,2]
62a0d7f0-b3b3-4407-ac5a-24861cc22612;e7b9a93c-99e2-4588-923f-228c758f40ce;a86c28e3-7448-456b-9cfe-a4f09225ae5e;01803f55-8bdf-4d94-b8be-14bcda04a8ff;0.18661827;9.63206976;1;2;10;0;2;2026-07-07 09:13:17.721+00;2026-07-05 09:13:17.721+00;2026-06-20 16:22:54.770788+00;2026-07-05 09:13:17.864096+00;learning;[1,1,3]
4ef2d186-528d-45ed-aabd-6b740f216c8d;e7b9a93c-99e2-4588-923f-228c758f40ce;e5a20069-4ec4-4e8b-bf8b-541e37e52b7b;01803f55-8bdf-4d94-b8be-14bcda04a8ff;187.39246704;5.5473705;32;195;4;0;2;2027-01-15 06:51:51.205+00;2026-07-04 06:51:51.205+00;2026-05-09 15:03:46.568879+00;2026-07-04 06:51:51.264079+00;learning;[1,4,4]
2906b83b-cf09-458a-aa28-b4e0c7c09f09;e7b9a93c-99e2-4588-923f-228c758f40ce;2b58fa6f-bc21-44fe-afb7-d56c87f7e61d;01803f55-8bdf-4d94-b8be-14bcda04a8ff;4.33393366;8.82577491;3;5;10;1;2;2026-07-09 06:52:29.631+00;2026-07-04 06:52:29.631+00;2026-06-08 11:41:35.30193+00;2026-07-04 06:52:29.690874+00;learning;[1,3,3]
